candidate_id,hired,role,decision_year
SYN-9246,True,HR Specialist,2016
SYN-9247,False,Software Engineer,2021
SYN-9248,False,Software Engineer,2023
SYN-9249,False,HR Specialist,2015
SYN-9250,True,Marketing Manager,2023
SYN-9251,False,Product Manager,2023
SYN-9252,False,Marketing Manager,2020
SYN-9253,False,Marketing Manager,2019
SYN-9254,False,Data Analyst,2022
SYN-9255,True,Software Engineer,2019
SYN-9256,False,Marketing Manager,2019
SYN-9257,True,HR Specialist,2021
SYN-9258,False,Marketing Manager,2016
SYN-9259,True,HR Specialist,2020
SYN-9260,False,HR Specialist,2016
SYN-9261,False,Marketing Manager,2018
SYN-9262,False,Marketing Manager,2023
SYN-9263,False,Marketing Manager,2021
SYN-9264,False,HR Specialist,2017
SYN-9265,True,HR Specialist,2020
SYN-9266,False,Marketing Manager,2020
SYN-9267,False,Data Analyst,2022
SYN-9268,False,Marketing Manager,2019
SYN-9269,True,Marketing Manager,2018
SYN-9270,False,Product Manager,2017
SYN-9271,False,Software Engineer,2023
SYN-9272,False,HR Specialist,2015
SYN-9273,True,HR Specialist,2020
SYN-9274,False,Product Manager,2019
SYN-9275,False,Software Engineer,2023
SYN-9276,False,Data Analyst,2021
SYN-9277,False,Software Engineer,2018
SYN-9278,False,Marketing Manager,2018
SYN-9279,False,Data Analyst,2022
SYN-9280,True,Data Analyst,2019
SYN-9281,False,Data Analyst,2022
SYN-9282,False,Software Engineer,2020
SYN-9283,True,Product Manager,2015
SYN-9284,False,Marketing Manager,2022
SYN-9285,True,Marketing Manager,2019
SYN-9286,False,Marketing Manager,2020
SYN-9287,False,Product Manager,2017
SYN-9288,False,Software Engineer,2020
SYN-9289,False,Software Engineer,2016
SYN-9290,False,HR Specialist,2019
SYN-9291,True,Data Analyst,2015
SYN-9292,False,Software Engineer,2021
SYN-9293,False,HR Specialist,2015
SYN-9294,False,HR Specialist,2017
SYN-9295,True,Marketing Manager,2022
SYN-9296,False,Marketing Manager,2020
SYN-9297,True,HR Specialist,2023
SYN-9298,False,Data Analyst,2016
SYN-9299,True,Software Engineer,2017
